SMILES,label_0,label_1,label_2,label_3,label_4
CCCCC(COC(=O)C=C)CC,0.14,0.59,0.0,0.44,1.6899
Oc1ccc(cc1)OCc1ccccc1,1.41,1.41,0.57,0.61,1.5825
COC(=O)CCc1ccccc1,0.69,1.21,0.0,0.6,1.3544
COC(=O)C=Cc1ccccc1,0.94,0.97,0.0,0.57,1.3114
c1ccc(cc1)CCc1ccccc1,1.22,0.93,0.0,0.33,1.606
c1ccc(cc1)/C=C/c1ccccc1,1.45,1.04,0.0,0.34,1.563
CCCC(=O)c1cccc(c1)O,1.0,1.32,0.77,0.56,1.3544
CCOC(=O)C=Cc1ccccc1,0.9,1.05,0.0,0.6,1.4523
O=C(/C=C/c1ccccc1)OCc1ccccc1,1.7,1.63,0.0,0.7,1.9192
Clc1cc(Cl)c2c(c1Cl)c(Cl)c(cc2Cl)Cl,2.05,1.42,0.0,0.0,1.8198
Clc1c(Cl)c(Cl)c2c(c1Cl)c(Cl)ccc2Cl,2.05,1.42,0.0,0.0,1.8198
Clc1cc2c(Cl)cc(c(c2c(c1Cl)Cl)Cl)Cl,2.05,1.42,0.0,0.0,1.8198
Clc1cc(Cl)c2c(c1Cl)cc(c(c2Cl)Cl)Cl,2.05,1.42,0.0,0.0,1.8198
Clc1cc2c(cc1Cl)c(Cl)c(c(c2Cl)Cl)Cl,2.05,1.42,0.0,0.0,1.8198
Clc1cc2c(c(c1Cl)Cl)cc(c(c2Cl)Cl)Cl,2.05,1.42,0.0,0.0,1.8198
CCCCC(COC=C)CC,0.13,0.32,0.0,0.43,1.5333
CC(=O)OCCc1ccccc1,0.79,1.1,0.0,0.5,1.3544
N(Cc1ccccc1)Cc1ccccc1,1.34,0.87,0.26,0.65,1.7058
O(Cc1ccccc1)Cc1ccccc1,1.21,1.15,0.0,0.7,1.6647
CCCOC(=O)C=CC,0.2,0.65,0.0,0.42,1.1263
CC(=O)OCC=Cc1ccccc1,0.99,1.22,0.0,0.72,1.4523
O=C(c1ccccc1)N(C1CCCCC1)C1CCCCC1,1.15,1.6,0.0,1.07,2.4464
O=S(c1nc2c([nH]1)cccc2)Cc1nccc(c1C)OCC(F)(F)F,2.3,2.45,0.51,1.55,2.3696
CCCCSC(CC)C,0.32,0.34,0.0,0.42,1.3993
CC(N(CC#C)C)Cc1ccc(cc1)F,0.84,1.1,0.05,0.82,1.7342
CCC(SC)C,0.35,0.36,0.0,0.41,0.9766
CCCSC(CC)C,0.32,0.34,0.0,0.42,1.2584
CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,1.87,2.28,0.85,1.88,2.2723
BrCCc1ccccc1,0.97,0.94,0.0,0.3,1.1732
CCCc1ccccc1,0.6,0.5,0.0,0.15,1.1391
CNCc1ccccc1,0.8,0.79,0.07,0.73,1.098
CCNc1ccccc1,0.95,0.85,0.17,0.43,1.098
O=CNc1ccccc1,0.97,1.44,0.48,0.49,0.9728
O=C=Nc1ccccc1,0.79,0.95,0.0,0.3,0.9298
S=C=Nc1ccccc1,1.35,0.91,0.0,0.16,1.0346
CCOc1ccccc1,0.68,0.7,0.0,0.32,1.0569
O=C1C(=O)C2(C(C1CC2)(C)C)C,0.56,1.2,0.0,0.78,1.3318
OCCc1ccccn1,0.82,1.02,0.12,1.04,1.0158
O=C1CN=C(c2c(N1)ccc(c2)Cl)C1=CCCCC1,1.94,0.88,0.33,1.24,2.019
Clc1ccc2c(c1)C(=NCC(=O)N2C)C1=CCCCC1,1.87,1.23,0.0,1.2,2.1599
CC(=O)Cc1ccccc1,0.75,0.9,0.0,0.7,1.1548
